"Which of the following schools would you think this course is most aligned to (the name of the school may be changed (and in fact I would like suggestions)). The idea is to provide each course emphasis, by clearly conveying it's interest domain to audience and hopefully get more registrations.",School ID,Course ID,Course Name,Club,Desc_short,Desc,Week_time,Evaluation,Certification,Pre-req,Contact info,Week 1,Week 2,Week 3,Week 4,Week Null
The Engineering Summer School,3,34,Circuits That Solve,EESA,"Learn how circuits can do math! This course blends core analog electronics 
with dynamic system modeling, guiding you from circuit basics to building and simulating an analog solver for the famous Predator-Prey equations—all using op-amps, and LTSpice","Worried that analog circuits are too complicated? This course is made for you! We start from the basics—learning simple rules like Kirchhoff’s laws and how to analyze circuits step-by-step. You’ll get introduced to diodes and op-amps, the building blocks of analog electronics, and see how these tiny components can actually solve real problems. 

Together, we’ll simulate and build circuits that mimic math in action — including a cool project where you’ll create an analog circuit that models a predator-prey system (think foxes and rabbits interacting). Using easy-to-learn tools like LTSpice, you’ll watch equations come to life as circuits. 

Don't know LT Spice? Worry not, we have got your back. You will get full exposure to how you 
can simulate basic to complex circuits. 

No heavy math or confusing theory upfront—just simple ideas, fun experiments. By the end, 
you’ll understand how analog electronics can do much more than you thought, and you’ll have designed a circuit that actually solves problems.", 5-7 hours,"Assignment Plan –  
Week 1: Basic Circuit Solving and Simulation (10%) - Simulate basic circuits in LTSpice. 

Week 2: Op-Amp-Based Circuit (10%) - Design and simulate a basic op-amp configuration (e.g., inverter or summing amplifier). - Focus on understanding op-amp behavior and signal processing. 

Week 3: Analog Multiplier (30%) - Build and simulate an analog multiplier using op-amps and diodes. - Learn how circuits can implement non-linear operations. 

Week 4: Final Project – Analog Differential Equation Solver (50%) - Design and simulate a complete analog circuit that solves the predator-prey model. - Combine concepts from all weeks to build and explain a real analog computing application.",Project Completion & minimum 70/100 marks ,Just your enthusiasm!,"Apoorv Goyal (8107166993), Stavan Mehta (6353885069), Shreya Nigam (8904495520)","Getting Started with Circuits - Topics Covered: - Introduction to analog circuits and what they can do - Kirchhoff’s Current Law (KCL) and Voltage Law (KVL), basic resistor networks - Thevenin and Norton equivalents (intuitively, with examples) - LTSpice Basics – how to draw, simulate, and read circuit outputs - Goal: Build comfort with analyzing and simulating simple resistor-based circuits.","Diodes and Op-Amps – Your Circuit Superpowers - Topics Covered: - Understanding Diodes – characteristics, clipping/clamping circuits - Introduction to Op-Amps: - Inverting, non-inverting, buffer configurations - Op-Amp assumptions (ideal behavior).","Applications: adder, subtractor, comparator etc. - Analog Math with Op-Amps: - Op-Amps as summing amplifiers and differential amplifiers - How circuits can ""do math"" - Goal: Learn how op-amps and diodes help us perform basic analog computation. This can also include a Transistor 101 segment if really needed and the students seem to like it.",Circuits That Solve – The Final Project Phase - Topics Covered: - Op-Amp Integrators – key building block of analog computers - Connecting math to circuits: solving differential equations using integration and summation - Understanding the Predator-Prey Model: - What it models (basic explanation of the two coupled differential equations) - How population dynamics can be simulated with op-amps - Step-by-step guide to building the circuit: - Mapping the equations - Choosing op-amp blocks - Goal: Use everything learned to build and simulate an analog computer that solves the predator-prey differential equations. ,"Should not be needed, but if in case needs to slow down the pace, we can think of assignment evaluations for the first few weeks as a criteria for the resume verifcation."
The Engineering Summer School,3,35,Physics of Semiconductor Devices,EESA,"Curious how we turned a rock into a thinking machine? This course dives into the fundamental physics behind semiconductor devices—the building blocks of all electronics. Using basic principles of electromagnetism and quantum mechanics, we’ll explore how transistors work, culminating in a hands-on simulation project.","This course is an introduction to the fascinating world of semiconductor device physics—the science that powers modern electronics. Starting from a JEE level understanding of physics and math, the course walks you through the fundamental principles that explain how electronic devices like transistors actually work.

We’ll begin with the basics: energy bands in solids, carrier types (electrons and holes), and how electric fields affect charge transport in materials. As we progress, we’ll build up tools like carrier statistics, drift and diffusion models, and energy band diagrams to understand how current flows through a semiconductor. These concepts will come together as we develop a physics-based model for one of the most important devices in electronics: the MOSFET.

The course will be spread over four weeks and will consist of interactive online sessions, weekly assignments to reinforce key ideas, and a final project where you’ll simulate the basic device physics of a MOSFET using the concepts you’ve learned. No prior knowledge of electronics is expected—just curiosity and a willingness to learn!", 4-6 hours,"20% Assignments * 3=60%
(make a video explaining your understanding of the week in 5 mins)

Project- 40%",A total of 50% out of 100%,Just your enthusiasm!,Aryamman Bhatia (7977994553),"Semiconductor Fundamentals
- Energy bands: conduction, valence, and bandgap
- Electrons and holes; effective mass and mobility
- Intrinsic and extrinsic semiconductors
- Doping and Fermi level
- Density of states
- Carrier concentration and temperature dependence","Carrier Transport and Band Diagrams
- Drift and diffusion current
- Einstein relation and mobility
- Built-in electric fields and potential
- Energy band diagrams: equilibrium and under bias
- Quasi-Fermi levels (conceptual)","The PN Junction Diode
- PN junction formation and depletion region
- Built-in potential and space charge
- Forward and reverse bias behavior
- Ideal diode equation and I–V characteristics
- Reverse breakdown (brief)","The MOSFET and Project
- MOS structure and MOS capacitor basics
- Threshold voltage and channel formation
- Modes of operation: cutoff, linear, saturation
- Basic MOSFET I–V characteristics
- Final project: make a simulation model of a MOSFET using fundamental physics",Won't be needed
The Engineering Summer School,3,36,Control Theory Bootcamp,Electronics & Robotics Club,"This course is your gateway into the world of control systems — the brains behind every smart, stable machine. We’ll break down the core math, then take a deep dive into MATLAB Simulink, the gold standard for simulating and designing real-world systems.

You’ll start by crafting a rock-solid PID controller, then level up with the smooth precision of an LQR controller. To tie it all together, you’ll build your own self-balancing bot — because what’s the point of theory if you can’t show it off?","This course offers a structured journey through the fundamentals of control systems, culminating in the design and implementation of a self-balancing robot. It begins with a deep dive into core control theory, covering system modeling, stability, and feedback — essential tools for understanding how dynamic systems behave and can be controlled.

Building on this foundation, students will explore MATLAB Simulink, the industry-standard platform for control system simulation and design. Through hands-on projects, participants will implement both PID and Linear Quadratic Regulator (LQR) controllers, learning how to tune and analyze their performance in simulated environments.

The course then transitions from simulation to physical systems, where students will model and stabilize a self-balancing bot using the controllers they've designed. In the final phase, the focus shifts to achieving smooth maneuvering and responsive control, integrating all prior knowledge into a fully functional robotic system. By the end, students will have both a strong theoretical grounding and tangible experience in modern control system implementation.",4-5 hours,"The course shall consist of 2 assignments and 1 project. 
Attendance : 5% * 4 sessions
Assignment 1: 15% 
Assignment 2: 25%
Project Phase 1: 25%
Project Phase 2: 30%

Weightages are subject to minor changes, if required during the camp. The project will be provided well in advance.",80% or above performance in the course.,Elementary proficiency in Class XI & XII Physics and Mathematics,"Kunal Gandvane (9510190597), Radhika Agarwal (7007582491), Daksh Makwana (9660852364), Dhruv Singla (8059593359)","This week lays the theoretical groundwork for control systems. You'll learn how to model dynamic systems using differential equations and transfer functions, analyze system stability, and understand the role of feedback in control. Core concepts such as open-loop vs. closed-loop systems, time and frequency domain analysis, and performance metrics like rise time, settling time, and overshoot will be covered. This week ensures you have a strong analytical base before moving into simulation and design.","This week marks the transition to practical implementation using MATLAB Simulink. You'll learn to simulate control systems and implement classical PID controllers, understanding how to tune them using methods like Ziegler-Nichols and trial-and-error in a visual modeling environment. The week also introduces the Linear Quadratic Regulator (LQR) — a state-space-based optimal controller — giving you a deeper perspective on modern control techniques. You'll compare PID and LQR in terms of design philosophy, performance, and application.","Here, theory meets application. Using the simulated model of a self-balancing bot (inverted pendulum on wheels), you'll apply the controllers designed in Week 2 to stabilize the system. This involves identifying system dynamics, designing appropriate feedback loops, and fine-tuning controller parameters to keep the bot upright. You'll gain hands-on experience tackling real-world challenges like noise, disturbance rejection, and control signal saturation.","In the final week, you'll extend the functionality of the stabilized bot to include movement and steering. This includes designing control logic for smooth forward, backward, and turning motions while maintaining balance. You'll also work on refining your system’s response to varying setpoints and potentially integrating higher-level command inputs. By the end of the week, you'll have a fully simulated, controllable self-balancing robot built from the ground up.",N/A
The Engineering Summer School,3,37,Build Your Own Plant - A Blueprint to Start Manufacturing,Team ChemEca,"Unlock the secrets of everyday products by designing your own manufacturing plant! This hands-on course takes you from performing a market study for a FMCG product like chocolate or frooti to creating detailed process flow diagrams and even advanced plant designs along with basics of emission analysis. Learn industry tools, master process engineering basics, and earn a valuable certification to boost your career—all while building a real-world project step-by-step.","Week-wise Project Details 

Week 1: Market Study on a Product Genre
1. Learn how to conduct a market analysis for FMCG products, exploring industry trends, consumer demand, and leading brands.
2. Understand how to evaluate the feasibility of manufacturing different product genres (e.g., chocolates, fruit juices).
3.  Design a deck summarizing market study findings and rationale for narrowing down to a specific product genre.
4. Gain experience in synthesizing research and justifying product selection.
Deliverable:
Assignment 1 – FMCG Market Study Presentation Deck

Week 2: Basic Block Diagram of Manufacturing Process
1. Study the fundamental steps involved in the manufacturing process for the selected FMCG product.
2. Learn to perform a literature review to identify key process stages.
3. Practice translating process understanding into a clear, simple block diagram.
4. Develop concise process descriptions to accompany diagrams.
Deliverable:
Assignment 2 – Basic Block Diagram with Brief Process Description

Week 3: Basic Process Flow Diagram (PFD)
1. Get introduced to digital diagramming tools like Visual Paradigm.
2. Learn to convert block diagrams into process flow diagrams, identifying main equipment and process streams.
3. Understand the basics of process engineering documentation.
4. (Optional) Begin exploring advanced topics: basics of P&ID and AutoCAD Plant 3D.
Deliverable:
Assignment 3 – Basic PFD (compulsory); Optional: Begin P&ID

Week 4: Refined and Detailed PFD with Emission Assessment 
1. Refine and finalize the digital PFD, incorporating feedback for clarity and accuracy.
2. Learn to represent all process streams, equipment, and connections in detail.
3. Conduct an emission assessment for the designed plant, identifying potential emissions and their sources.
4. (Optional) For advanced learners: Expand the PFD into a basic P&ID, adding instrumentation, control, and safety features, and explain one such feature.
Deliverable:
Assignment 4 – Final, Refined Digital PFD (compulsory), Emission Assessment Deck(compulsory), Basic P&ID with Explanation(Optional) ",4-6 hours,"Attendance:
Mandatory participation in 2 out of 2 briefing sessions.

Assignments:
Submit at least 2 out of the first 3 weekly assignments.
Submission of the final 2 compulsory sub-parts of  Assignment 4 will be required.

No Weighted Grading:
All requirements must be fulfilled for successful completion and certification.
There will be an optional capstone P&ID design project

Reach out to : Param Aghera- 9428989809  *AND*  Ojas Pathak - 7058448506 in case of any issues.",Attendance: Mandatory participation in 2 out of 2 briefing sessions. Assignments: Submit at least 2 out of the first 3 weekly assignments. Submission of the final 2 compulsory sub-parts of  Assignment 4 will be required. No Weighted Grading: All requirements must be fulfilled for successful completion and certification. There will be an optional capstone P&ID design project,Just your enthusiasm!,"Ojas Pathak (7058448506), Param Aghera (9428989809)","1. Learn how to conduct a market analysis for FMCG products, exploring industry trends, consumer demand, and leading brands.
2. Understand how to evaluate the feasibility of manufacturing different product genres (e.g., chocolates, fruit juices).
3.  Design a deck summarizing market study findings and rationale for narrowing down to a specific product genre.
4. Gain experience in synthesizing research and justifying product selection.

Assignment 1 – FMCG Market Study Presentation Deck","1. Study the fundamental steps involved in the manufacturing process for the selected FMCG product.
2. Learn to perform a literature review to identify key process stages.
3. Practice translating process understanding into a clear, simple block diagram.
4. Develop concise process descriptions to accompany diagrams.

Assignment 2 – Basic Block Diagram with Brief Process Description","1. Get introduced to digital diagramming tools like Visual Paradigm.
2. Learn to convert block diagrams into process flow diagrams, identifying main equipment and process streams.
3. Understand the basics of process engineering documentation.
4. (Optional) Begin exploring advanced topics: basics of P&ID and AutoCAD Plant 3D.

Assignment 3 – Basic PFD (compulsory); Optional: Begin P&ID","1. Refine and finalize the digital PFD, incorporating feedback for clarity and accuracy.
2. Learn to represent all process streams, equipment, and connections in detail.
3. Conduct an emission assessment for the designed plant, identifying potential emissions and their sources.
4. (Optional) For advanced learners: Expand the PFD into a basic P&ID, adding instrumentation, control, and safety features, and explain one such feature.

Assignment 4 – Final, Refined Digital PFD (compulsory), Emission Analysis Deck(compulsory), Basic P&ID with Explanation(Optional) ","Won't be extending the course beyond 4 weeks, it is very trivial and doable. In case it still extends, the assignments submitted until now shall be verified in the resume, Team Leads of Team ChemEca will handle resume verification points."
"The Management Summer School (Courses in Consult, Finance, Entrepreneurship, Economics*)",2,21,How to Start your Startup,EnB Club,"Master the art of launching and scaling a startup in just three weeks. Learn from industry experts about idea generation, growth strategies, and building a winning team to achieve entrepreneurial success.","This comprehensive three-week course provides aspiring entrepreneurs with essential insights and strategies for starting and scaling a successful startup. Week 1 covers foundational elements such as idea generation, product development, and strategic pivoting, enriched with real-world case studies. Week 2 delves into growth strategies including SEO, email marketing, and user engagement, while emphasizing customer support and press coverage. Week 3 focuses on building a strong company culture, effective team management, and strategic decision-making. Through lectures by industry experts, this course equips participants with the knowledge and skills to navigate the complexities of entrepreneurship.",7-8 hours,Assignment - 1/week,It is suggested to watch all weekly videos and achieve a minimum 50% score on assignments for certification.,Passionate about entrepreneurship and basic understanding of business concepts. No prior experience required.,Amit Bhartiya (7878469798),"Foundational Elements
1. Passion and Problem-Solving(Understanding the core of startup success)
   - Importance of founder's passion
   - Identifying and solving specific problems
   - Case study: Airbnb
2. The Importance of Execution(Turning ideas into reality)
   - Execution over ideation
   - Case study: Facebook
3. Strategic Pivoting (Adapting to find market fit)
   - Importance of pivoting towards a goal
   - Case study: Twitter
4. Evaluating Long-Term Value (Ensuring sustainability)
   - Sustainability through long-term value
   - Case study: Amazon
5. Future Planning (Anticipating future challenges)
   - Strategic foresight and adaptability
   - Case study: Slack","Growth Strategies
1. SEO Strategies (Driving organic traffic)
   - Keyword research
   - Link building
2. Email Marketing (Engaging users effectively)
   - Personalized notifications vs. newsletters
   - Deliverability and engagement
3. Triggered Marketing Campaigns(Boosting engagement)
   - User action-based campaigns
   - Boosting click-through rates
4. Virality Factors (Achieving rapid growth)
   - Payload, frequency, and conversion rates
5. Creating Products Users Love (Fostering user loyalty)
   - Conversion rates and churn indicators
   - Case study: Apple","Building Culture and Strategic Management
1. Hiring and Team Building (Creating a strong foundation)
   - Values: hard work, integrity, creativity, transparency
   - Hiring the first 10 employees
2. Transparency and Onboarding(Fostering open communication)
   - Tooling for transparency
   - Evolving onboarding processes
3. Managing People and Resources(Maximizing organizational output)
   - Effective leadership and decision-making
   - Regular one-on-one meetings
4. Metrics and Outputs (Measuring performance accurately)
   - Focusing on outputs
5. Fairness and Cultural Implications(Ensuring equitable practices)
   - Considering all stakeholders
   - Structured processes for raises",Project - At the end of the course the participant is expected to have a basic understanding on the workings and analysis of startups. The course will conclude with a submission of BMC i.e. a Business Model Canvas. The BMC should be on the startup idea the participant has developed through the course or otherwise on an alum startup.,
"The Management Summer School (Courses in Consult, Finance, Entrepreneurship, Economics*)",2,22,Ai in Entrepreneurship,EnB Club,"Unlock the power of AI to launch your startup idea, no coding, just creativity, tools, and strategy!","This 4-week course introduces students to the intersection of entrepreneurship and artificial intelligence. You’ll learn how to ideate, validate, build, and scale a startup using practical AI tools. Each week focuses on a new stage of the entrepreneurial journey—from understanding the startup lifecycle and market research to building MVPs with no-code AI platforms and preparing AI-powered pitch decks. Through engaging lectures, hands-on assignments, and real-world case studies, you'll walk away with a complete startup concept powered by AI.",3–5 hours,"Total: 100%

Weekly Assignments (4) — 50%
Short tasks where students apply weekly concepts using AI tools (e.g., market research using ChatGPT, MVP design using no-code platforms).

Final Project — 50%
Students submit a complete AI-powered startup pitch deck, including idea validation, product concept, GTM strategy, and ethical use of AI.","Minimum 60% overall score (assignments + final project), Submission of all weekly assignments and final project","Basic familiarity with startups, business ideas, or willingness to explore new tools",Ishant (8512094092),"Introduction to Entrepreneurship & Foundations of AI

Understanding the entrepreneurial mindset and the startup lifecycle

Overview of AI and machine learning (no technical background needed)

Applications of AI in real-world businesses

AI in the startup landscape: opportunities and examples

Hands-on: Explore ChatGPT, Notion AI, and other beginner-friendly tools

Assignment: Identify a problem, propose an AI-based solution, and validate the idea using AI tools (e.g., ChatGPT, Google Trends)","AI for Market Research & Opportunity Identification

Using AI tools for market research and trend analysis

Customer persona creation and segmentation with AI assistance

Competitive landscape mapping using AI scrapers and research assistants

Tools: Browse AI, ChatGPT, Perplexity AI, Similarweb

Assignment: Submit a 1-page market research report and customer persona using at least two AI tools","Building MVPs and Prototypes with AI & No-Code Tools

Understanding MVPs and product-market fit

Introduction to no-code tools (Bubble, Glide, Canva, Figma, Tally)

Integrating AI APIs or models into your startup idea

Case studies: Jasper AI, Copy.ai, Looka, Synthesia

Assignment: Build a prototype or visual MVP of your idea using AI/no-code platform","Scaling, Pitching & Ethical AI Use

Using AI in sales, marketing, and customer support automation

Creating AI-powered pitch decks and fundraising strategies

Tools: Beautiful.ai, ChatGPT for scripting, Decktopus, SlidesAI

Discussion: Responsible use of AI, ethics, bias, and data privacy

Assignment: Submit a complete AI-powered startup pitch deck including MVP, GTM strategy, AI use case, and ethical considerations",
"The Management Summer School (Courses in Consult, Finance, Entrepreneurship, Economics*)",2,23,Consulting 101,Consult Club,"Discover the power of consulting with our Consulting 101 course! Are you ready to unlock your potential and dive into this exciting field? Whether you're a beginner or completely new to consulting, our course equips you with essential skills and knowledge to excel. Learn problem-solving, master strategic thinking, and develop communication skills that set you apart as a trusted advisor. Plus, delve into guesstimates—a critical skill for any consultant—enabling you to break down complex problems and provide quick, insightful estimates on the spot. Join us and transform your consulting journey!","Consulting 101 encompasses a comprehensive introduction to the world of consulting providing students a great exposure to what consulting really is about. This program would help to develop essential skills such as structuring thoughts, generating ideas, and making guesstimates, which are the tools that consultants use on a daily basis, without which they wouldn't be who they are. Through interactive sessions, shared content and a project-based assignment, participants shall gain practical exposure to consulting concepts and real-life case studies covering profitability analysis, market entry strategies, and mergers and acquisitions. The course would serve as an excellent way for anyone looking for exposure to consulting to achieve that.
",4-6 hours,"Originality – Work must be AI-free and authentically written by the student. (This is must to follow otherwise your assignment will not be considered for evaluation)

Relevance (40%) – Content must directly reflect the concepts taught in that week's syllabus.

Structure (40%) – Clear, logical organization with proper flow and formatting.

Creativity (20%) – Demonstrates critical thinking, originality, and insightful perspectives.",Attend at least 2/3 live sessions. Submit at least 2/3 assignments/ projects before the resume deadline. Obtain more than 50% in the assignments given till now.,Just your enthusiasm!,"Karan (9833729353), Parv (7304921051)","What is Consulting, Types of Consulting
Introduction to Guesstimates, guesstimate examples
Issue trees: what are issue trees, how to make an issue tree, examples
","What is critical thinking? it’s importance in consulting, resources to improve your critical thinking
SWOT analysis and Pestel analysis
What is problem identification and framing? Problem solving frameworks, MECE principle
Creative and Innovative thinking
","Introduction to profitability, solving case interviews on profitability
Introduction to Competitive Analysis and analyzing business through unpredictable market forces
Growth Strategy and Management, solved cases
Mergers and Acquisitions, examples
",NA,
"The Science Summer School (Pure Sciences like Maths, Biology, Physics, Chemistry, Economics*)",1,11,SYN-BIO 101,iGEM,"Step into the revolutionary field of Synthetic Biology where DNA becomes your code and cells your canvas. In just 4 weeks, learn how to engineer life, create biological circuits, and reimagine the future of medicine, energy, and more.","This Introduction to Synthetic Biology course is your gateway to understanding how we can program living systems like machines. You'll explore how DNA, RNA, and proteins work together and how we can manipulate this flow of information to engineer biological circuits and solve real-world problems. Through this course, you'll learn how to differentiate synthetic biology from traditional genetic engineering, design and analyze gene expression systems, understand tools like CRISPR, and explore applications in medicine, sustainability, and biomaterials. You'll also get hands-on exposure to bioinformatics tools like the RCSB PDB Viewer, develop an understanding of biotechnology techniques such as recombinant DNA and PCR, and think critically about ethics, biosafety, and innovation in this fast-growing field. Whether you're passionate about biology, tech, or innovation — this course will help you explore the future of life sciences.",3-4 hours,"Each week, you will complete an assignment comprising:
Objective Questions: Multiple-choice, True/False, and short-answer questions to test your conceptual clarity.
Subjective Questions: Logic-based, open-ended questions where you’ll apply what you’ve learned to solve synthetic biology problems.
In the final week, you will complete a mandatory project using the RCSB PDB Viewer to analyze protein structures. You'll be expected to interpret structural features, identify functional insights, and derive meaningful conclusions from your analysis. Completion of this project is compulsory for certification",60% in the weekly assignment & completion of the final project.,Just your enthusiasm!,"Gaurish (9766206523), Hitesh (7977016916)"," Foundations of Synthetic Biology-what syn bio and how its differernt from geneticengineering,historical lmilestones and breakthoughs, designing principles in biological circuits, and real world applications","The Genetic Toolkit- understanding the central dogma, deep dive into replication, transcription, and translation.Post-transcriptional and post-translational modifications.
Introduction to gene expression control & synthetic varients.","Biotechnology Essentials- Core techniques: Recombinant DNA, cloning vectors, plasmids, and gel electrophoresis.gene delivery methodsPCR, gene amplification, and identifying recombinant colonies, vector systems, bioreactors, and downstream processing.","Advanced Applications & Bioethics- Genetic circuit design: Build logic into cells. CRISPR: The genome editing revolution.biosafety, biosecurity, and intellectual property in synbio.
",
"The Science Summer School (Pure Sciences like Maths, Biology, Physics, Chemistry, Economics*)",1,12,Computational Soft and Active Matter: Modeling Self-Organisation and Collective Behavior,Students' Association of Physics Department,"From particles to patterns—simulate how flocks form, clusters jam, and agents organise in motion! Build your own soft and active matter simulations from scratch","This course offers an  introduction to computational modeling of soft and active matter systems, where students explore how complex collective behaviors emerge from simple rules. Over four weeks, learners will build interactive simulations using Python to investigate phenomena like clustering, jamming, and flocking.

Week 1 introduces particle dynamics and repulsive forces in soft matter systems.

Week 2 explores inter-particle potentials and self-organization, modeling systems like foams and colloids.

Week 3 dives into active matter, implementing the Vicsek model to simulate flocking and noise-driven phase transitions.

Week 4 brings it all together in a capstone-style project, modeling flocking agents navigating through obstacles using alignment, repulsion, and self-propulsion.

Students will use Python and libraries like numpy and matplotlib to visualize behaviours in real time. 

By the end of the course, learners will have built their own simulation engines, developed insights into self-organization, and created a final project showcasing their understanding of soft and active matter systems.",6-7 hours,"Attendance: 75% required
Weekly Assignments (60%)
Capstone Project (40%)
Passing Criteria: Minimum 50% overall to pass","75% attendance, out of 3 assignments one can be left, capstone project is must and 50% grades in assignments depending on code quality ",Some experience with Python (especially numpy and matplotlib),Ananya Priyaroop (9835045678),"Course Content:
Integration methods: Euler, Velocity Verlet
Soft repulsion using Lennard-Jones-like potential
Boundary handling: reflective and periodic
Energy conservation basics

Assignment 1:
Simulate 100 particles in 2D with soft repulsion
Implement both Euler and Velocity Verlet methods
Plot total kinetic + potential energy over time

Submit:
Python code
20s animation
Energy vs time plot","Course Content:
Clustering, aggregation, jamming phenomena
Attractive-repulsive potentials (modified Lennard-Jones)
Spatial metrics: pairwise distances, cluster sizes
Concepts of equilibrium vs non-equilibrium systems

Assignment 2:
Simulate for 3 interaction strengths and 3 densities
Calculate:
Cluster size distribution
Radial distribution function 
Submit:
Plots of clustering metrics
Snapshot comparisons pre/post clustering

Brief report on clustering behavior vs parameters","Course Content:

Vicsek model: self-propulsion + local alignment + noise
Ordered vs disordered states
Order parameter 
Influence of noise and density

Assignment 3:
Simulate 50 agents at low, medium, and high noise
Track:
Order parameter over time
Particle trajectories

Submit:
Animation showing flocking transition
Plot of ϕ vs time for each noise level
Report on noise thresholds and order-disorder behavior","Course Content:
Coupling Vicsek model with soft repulsion
Adding static obstacles as repelling objects
Measuring density, energy, order",
"The Science Summer School (Pure Sciences like Maths, Biology, Physics, Chemistry, Economics*)",1,13,Foundations of Astronomy and Astrophysics,Krittika,"One might wonder why, when and how we and the objects around us came into being. We might have found answers to some of these questions, but our understanding of the cosmos is still quite limited. One might be curious and want to explore this branch of Science. This Learners' Space course will provide a foundation in Astronomy and Astrophysics with a wide range of modules covering the basic workings of Celestial objects and their phenomena, Telescopes and also methods of studying as well as detecting these objects.","The course intends to build a basic understanding of the fundamentals of Astronomy and Astrophysics like Celestial Mechanics, Working of telescopes, Radiation & its Use in Astrophysics and Telescopes. Once the fundamentals are all set, we take a step further and dive deeper into the advanced modules. The advanced modules offer a variety of topics like Cosmology, Distance Ladder, Exoplanet Detection, Multi-messenger Astronomy, Radio Astronomy, Solar Physics and Stellar Structure and Evolution, which one can take up according to their interest. If you love Astronomy and want to learn but don't know how; this is a great opportunity!   ",4-5 hours,"Certificate Assignment 
attendance in lectures
mini-quizzes",Certificate Assignment should be completed at least 50% lectures attended at least 25% mini quizzes attempted,None,"Vihaang (9527958679), Durva (9009911322)","Celestial Mechanics and Gravity
Coordinate Systems and Time","Radiation & its use in Astrophysics
Telescopes","(Any 2 out of the 7 advanced modules to be done in week3 as well as week4)
Cosmology
Distance Ladder
Exoplanet Detection","Multi-messenger Astronomy
Radio Astronomy
Solar Physics
Stellar Structure and Evolution",
"The Science Summer School (Pure Sciences like Maths, Biology, Physics, Chemistry, Economics*)",1,14,Introduction to Quantum Computing,Maths and Physics Club,"Quantum computing is a field that harnesses the principles of quantum mechanics to process information. This course introduces the foundational concepts of quantum mechanics relevant to computing, explores the specialized hardware and algorithms used in quantum systems, and highlights how scalable quantum computers can solve certain problems exponentially faster than their classical counterparts. Join this course to learn more about it!","Quantum computing is a field that harnesses the principles of quantum mechanics to process information. Unlike classical computers that use bits represented by transistors, quantum computers use quantum bits (qubits), which can be realized even by single atoms under specific constraints. At the quantum scale, matter behaves both like particles and waves, enabling powerful new ways to perform computation. This course introduces the foundational concepts of quantum mechanics relevant to computing, explores the specialized hardware and algorithms used in quantum systems, and highlights how scalable quantum computers can solve certain problems exponentially faster than their classical counterparts.",6 hours,"3 Assignments, one per week: Each has 20% Weightage
Mini Project on Implementation of Algorithms: 40% Weightage",Assignments and Mini Project,Just your enthusiasm!,Soham (8602586808),"1. Linear Algebra: Dirac Notation, Duals, Inner products and Hilbert Spaces, Outer product, Operators and States, Adjoint of an operator, Hermitian, Unitary and Positive Operators, Unitary Diagonalization, Tensor Product, Partial Trace.
2. Postulates of QM: State Space, Evolution, Measurement (Protective and POVM), Composite systems.
3. Qiskit - Setup and Basics, Bloch sphere visualization.","1. Gates: Pauli X,Y,Z, Hadamard, S, T, General Rotation, Multi-qubit gates (CNOT, General Controlled Unitary, Swap, Toffoli) 
2. Circuits: Basic operational circuits, Superdense Coding, Teleportation circuits
3. Primitives: Phase Kickback, Pre-image States.","1. Primitives(Contd.): Quantum Fourier Transform
2. Algorithms: Grover's, Shor's, Simon's, Deutsch-Josza","1. Implementing Algorithms in Qiskit: Grover's, Shor's, Simon's, Deutsch-Josza in Qiskit.
2. Introduction to Quantum Information",
"The Science Summer School (Pure Sciences like Maths, Biology, Physics, Chemistry, Economics*)",1,15,Information and Coding Theory,Maths and Physics Club,"Ever wondered what is the science behind efficient and reliable communication!? Answer lies in Information & Coding Theory. This course is catered to cover the essentials of information and coding theory; from entropy and data compression to error-correcting codes. Join in this course to learn, how modern systems transmit data accurately, even in noisy environments.","From bits to error-proof messages, the course covers the fundamentals of information and coding theory. In the first half, study about probability, entropy, and the ideas of Claude Shannon that revolutionized how we understand information. In the second half, explore the art of communication—learn how to compress data efficiently and correct errors with powerful coding techniques like Huffman, Hamming, and Reed–Solomon codes. Blending theory with systems like QR codes and ISBNs, the course act as a introduction to source and channel coding, equipping you with the tools to understand modern digital communication.",7-9 hours,"Week 1: One assignment, worth 20%
Week 2: One assignment, worth 30%
Week 3: One assignment, worth 20%
Week 4: One assignment, worth 30%",Score of 70% is required across all assignments,Just your enthusiasm!,Nirav (9511896571),"Basic probability (random variables, distributions and densities, expectations), some statistical results (inequalities of Markov and Chebyshev (with proof), weak and strong law of large numbers (without proof)), basics of entropy (Shannon information content, decomposability, bounds, asymptotic equipartition, typical sets) ","More on entropy (joint, conditional, and relative entropies, mutual information, Gibbs' inequality, chain rules, data processing inequality), Shannon's source coding theorem (with proof), basics of channels and channel capacities, Shannon's noisy channel coding theorem (without proof)","Introduction to Coding Theory (Source and Channel Coding)

Historical motivation: Need for efficient and error-free communication

Source Coding:
Morse Code, ASCII encoding
Huffman encoding (construction, optimality proof)

Channel Coding:
Introduction to encoding and decoding processes
ISBN numbers and check-digit schemes
QR code structure and encoding principles
Basic concepts of error detection and correction

Discussion on the distinction and interplay between source coding and channel coding","Linear Codes:
Definitions (block codes, linearity, generator and parity-check matrices)
Encoding and syndrome decoding

Hamming Codes:
Construction, minimum distance, error detection and correction capability

Reed–Solomon Codes:
Basics of finite fields and polynomial interpolation
Encoding and decoding overview

Reed–Muller Codes:
Boolean functions, recursive construction
Applications and decoding idea

Geometric and algebraic perspectives in modern coding",
